"Step","dr_0.9 - train loss","dr_0.9 - train loss__MIN","dr_0.9 - train loss__MAX","dr_0.8 - train loss","dr_0.8 - train loss__MIN","dr_0.8 - train loss__MAX","dr_0.7 - train loss","dr_0.7 - train loss__MIN","dr_0.7 - train loss__MAX","dr_0.6 - train loss","dr_0.6 - train loss__MIN","dr_0.6 - train loss__MAX","dr_0.5 - train loss","dr_0.5 - train loss__MIN","dr_0.5 - train loss__MAX","dr_0.4 - train loss","dr_0.4 - train loss__MIN","dr_0.4 - train loss__MAX","dr_0.3 - train loss","dr_0.3 - train loss__MIN","dr_0.3 - train loss__MAX","dr_0.2 - train loss","dr_0.2 - train loss__MIN","dr_0.2 - train loss__MAX","dr_0.1 - train loss","dr_0.1 - train loss__MIN","dr_0.1 - train loss__MAX"
"1","2.073212520480156","2.073212520480156","2.073212520480156","1.905323968231678","1.905323968231678","1.905323968231678","1.833728477358818","1.833728477358818","1.833728477358818","1.7844780170917511","1.7844780170917511","1.7844780170917511","1.7516635969281196","1.7516635969281196","1.7516635969281196","1.7270274558663368","1.7270274558663368","1.7270274558663368","1.7037855416536332","1.7037855416536332","1.7037855416536332","1.6927066144347191","1.6927066144347191","1.6927066144347191","1.679044587612152","1.679044587612152","1.679044587612152"
"2","1.8949704426527023","1.8949704426527023","1.8949704426527023","1.7673215436935426","1.7673215436935426","1.7673215436935426","1.6920199194550514","1.6920199194550514","1.6920199194550514","1.637652485370636","1.637652485370636","1.637652485370636","1.5968250957131387","1.5968250957131387","1.5968250957131387","1.5642613613605498","1.5642613613605498","1.5642613613605498","1.5333526867628098","1.5333526867628098","1.5333526867628098","1.5096959820389748","1.5096959820389748","1.5096959820389748","1.4877766627073288","1.4877766627073288","1.4877766627073288"
"3","1.8546820437908174","1.8546820437908174","1.8546820437908174","1.713028785288334","1.713028785288334","1.713028785288334","1.631081964969635","1.631081964969635","1.631081964969635","1.5740242105722428","1.5740242105722428","1.5740242105722428","1.5256397327780724","1.5256397327780724","1.5256397327780724","1.4848206037282943","1.4848206037282943","1.4848206037282943","1.4427918604016303","1.4427918604016303","1.4427918604016303","1.4252848595380783","1.4252848595380783","1.4252848595380783","1.3908632719516754","1.3908632719516754","1.3908632719516754"
"4","1.8171691805124284","1.8171691805124284","1.8171691805124284","1.6761359053850173","1.6761359053850173","1.6761359053850173","1.5902617183327674","1.5902617183327674","1.5902617183327674","1.529398575425148","1.529398575425148","1.529398575425148","1.473562608063221","1.473562608063221","1.473562608063221","1.4350706958770751","1.4350706958770751","1.4350706958770751","1.3870089745521545","1.3870089745521545","1.3870089745521545","1.3570078060030937","1.3570078060030937","1.3570078060030937","1.316178938448429","1.316178938448429","1.316178938448429"
"5","1.7884941437840463","1.7884941437840463","1.7884941437840463","1.638974263370037","1.638974263370037","1.638974263370037","1.5599259212613106","1.5599259212613106","1.5599259212613106","1.4893534615635873","1.4893534615635873","1.4893534615635873","1.4352981334924697","1.4352981334924697","1.4352981334924697","1.385635203421116","1.385635203421116","1.385635203421116","1.3401521198451518","1.3401521198451518","1.3401521198451518","1.29863547205925","1.29863547205925","1.29863547205925","1.255994937568903","1.255994937568903","1.255994937568903"
"6","1.762651569545269","1.762651569545269","1.762651569545269","1.6206137830018996","1.6206137830018996","1.6206137830018996","1.5238332951068878","1.5238332951068878","1.5238332951068878","1.4566146859526634","1.4566146859526634","1.4566146859526634","1.3979433751106263","1.3979433751106263","1.3979433751106263","1.3419188269972802","1.3419188269972802","1.3419188269972802","1.2961291965842248","1.2961291965842248","1.2961291965842248","1.2487838011980057","1.2487838011980057","1.2487838011980057","1.2005138377845288","1.2005138377845288","1.2005138377845288"
"7","1.7471598070859908","1.7471598070859908","1.7471598070859908","1.5954204031825066","1.5954204031825066","1.5954204031825066","1.5002987226843834","1.5002987226843834","1.5002987226843834","1.4262886115908622","1.4262886115908622","1.4262886115908622","1.369142706990242","1.369142706990242","1.369142706990242","1.3127248719334603","1.3127248719334603","1.3127248719334603","1.2533629629015923","1.2533629629015923","1.2533629629015923","1.2073659959435463","1.2073659959435463","1.2073659959435463","1.1514814200997352","1.1514814200997352","1.1514814200997352"
"8","1.728487466275692","1.728487466275692","1.728487466275692","1.580573213994503","1.580573213994503","1.580573213994503","1.4817218786478044","1.4817218786478044","1.4817218786478044","1.403916203379631","1.403916203379631","1.403916203379631","1.3373299622535706","1.3373299622535706","1.3373299622535706","1.2755468171834945","1.2755468171834945","1.2755468171834945","1.2256345111131668","1.2256345111131668","1.2256345111131668","1.1631075909733772","1.1631075909733772","1.1631075909733772","1.1004512044787407","1.1004512044787407","1.1004512044787407"
"9","1.7162056666612626","1.7162056666612626","1.7162056666612626","1.5605034857988358","1.5605034857988358","1.5605034857988358","1.4608767420053481","1.4608767420053481","1.4608767420053481","1.3810603550076486","1.3810603550076486","1.3810603550076486","1.3120863142609596","1.3120863142609596","1.3120863142609596","1.249836497604847","1.249836497604847","1.249836497604847","1.1842780943214892","1.1842780943214892","1.1842780943214892","1.122186482846737","1.122186482846737","1.122186482846737","1.0519349017739297","1.0519349017739297","1.0519349017739297"
"10","1.7023049527406693","1.7023049527406693","1.7023049527406693","1.5434598991274833","1.5434598991274833","1.5434598991274833","1.4430621421337129","1.4430621421337129","1.4430621421337129","1.35805321007967","1.35805321007967","1.35805321007967","1.2817356806993485","1.2817356806993485","1.2817356806993485","1.2106052254140378","1.2106052254140378","1.2106052254140378","1.1444923470914363","1.1444923470914363","1.1444923470914363","1.0849861776828766","1.0849861776828766","1.0849861776828766","1.0072050696611405","1.0072050696611405","1.0072050696611405"
"11","1.6876959002017975","1.6876959002017975","1.6876959002017975","1.5308134669065476","1.5308134669065476","1.5308134669065476","1.4276284009218216","1.4276284009218216","1.4276284009218216","1.3362296625971795","1.3362296625971795","1.3362296625971795","1.263311135917902","1.263311135917902","1.263311135917902","1.188891196846962","1.188891196846962","1.188891196846962","1.114191907644272","1.114191907644272","1.114191907644272","1.04494613930583","1.04494613930583","1.04494613930583","0.9585629262030124","0.9585629262030124","0.9585629262030124"
"12","1.6794160407781602","1.6794160407781602","1.6794160407781602","1.5105477660894393","1.5105477660894393","1.5105477660894393","1.4095024168491364","1.4095024168491364","1.4095024168491364","1.3239830467104912","1.3239830467104912","1.3239830467104912","1.2441912403702735","1.2441912403702735","1.2441912403702735","1.1596803511679172","1.1596803511679172","1.1596803511679172","1.086444647461176","1.086444647461176","1.086444647461176","1.0097023102641105","1.0097023102641105","1.0097023102641105","0.9209828265011311","0.9209828265011311","0.9209828265011311"
"13","1.6693394163250923","1.6693394163250923","1.6693394163250923","1.5041395792365073","1.5041395792365073","1.5041395792365073","1.3953942155838013","1.3953942155838013","1.3953942155838013","1.300577977001667","1.300577977001667","1.300577977001667","1.21460577622056","1.21460577622056","1.21460577622056","1.1383368146419526","1.1383368146419526","1.1383368146419526","1.051115457713604","1.051115457713604","1.051115457713604","0.9679154911637307","0.9679154911637307","0.9679154911637307","0.8776388071477413","0.8776388071477413","0.8776388071477413"
"14","1.6621179977059364","1.6621179977059364","1.6621179977059364","1.4945161935687066","1.4945161935687066","1.4945161935687066","1.3826323714852333","1.3826323714852333","1.3826323714852333","1.289829757064581","1.289829757064581","1.289829757064581","1.2008704976737499","1.2008704976737499","1.2008704976737499","1.1101865901052952","1.1101865901052952","1.1101865901052952","1.0244758932292461","1.0244758932292461","1.0244758932292461","0.9289877358078956","0.9289877358078956","0.9289877358078956","0.8379599843919278","0.8379599843919278","0.8379599843919278"
"15","1.6504460805654526","1.6504460805654526","1.6504460805654526","1.4830670699477195","1.4830670699477195","1.4830670699477195","1.371344048678875","1.371344048678875","1.371344048678875","1.2614542856812476","1.2614542856812476","1.2614542856812476","1.1753452906012536","1.1753452906012536","1.1753452906012536","1.084799439460039","1.084799439460039","1.084799439460039","0.9978911620378494","0.9978911620378494","0.9978911620378494","0.8994151359796524","0.8994151359796524","0.8994151359796524","0.7908933341503144","0.7908933341503144","0.7908933341503144"
"16","1.6463503044843675","1.6463503044843675","1.6463503044843675","1.473906192779541","1.473906192779541","1.473906192779541","1.349431250989437","1.349431250989437","1.349431250989437","1.2491044723987579","1.2491044723987579","1.2491044723987579","1.1569192215800286","1.1569192215800286","1.1569192215800286","1.060186798274517","1.060186798274517","1.060186798274517","0.9619271801412106","0.9619271801412106","0.9619271801412106","0.8607246406376362","0.8607246406376362","0.8607246406376362","0.7503929708898067","0.7503929708898067","0.7503929708898067"
"17","1.6394337445497513","1.6394337445497513","1.6394337445497513","1.458318659067154","1.458318659067154","1.458318659067154","1.3351749077439308","1.3351749077439308","1.3351749077439308","1.2348680536448955","1.2348680536448955","1.2348680536448955","1.1318858940899372","1.1318858940899372","1.1318858940899372","1.0384468494355679","1.0384468494355679","1.0384468494355679","0.9421498200297356","0.9421498200297356","0.9421498200297356","0.8285979534685611","0.8285979534685611","0.8285979534685611","0.7122442847490311","0.7122442847490311","0.7122442847490311"
"18","1.6302452090382575","1.6302452090382575","1.6302452090382575","1.4533241671323776","1.4533241671323776","1.4533241671323776","1.3279118591547012","1.3279118591547012","1.3279118591547012","1.2227763387560844","1.2227763387560844","1.2227763387560844","1.115071659833193","1.115071659833193","1.115071659833193","1.0128229649364948","1.0128229649364948","1.0128229649364948","0.9109341241419315","0.9109341241419315","0.9109341241419315","0.8030522175133228","0.8030522175133228","0.8030522175133228","0.6851755950599909","0.6851755950599909","0.6851755950599909"
"19","1.6281275314092636","1.6281275314092636","1.6281275314092636","1.4451061210036278","1.4451061210036278","1.4451061210036278","1.3187765130400657","1.3187765130400657","1.3187765130400657","1.2038192434608936","1.2038192434608936","1.2038192434608936","1.099376267939806","1.099376267939806","1.099376267939806","0.9939292627573013","0.9939292627573013","0.9939292627573013","0.8874947060644627","0.8874947060644627","0.8874947060644627","0.7661895733326674","0.7661895733326674","0.7661895733326674","0.6504728135466575","0.6504728135466575","0.6504728135466575"
"20","1.6138695335388185","1.6138695335388185","1.6138695335388185","1.4329228103160858","1.4329228103160858","1.4329228103160858","1.3037317064404488","1.3037317064404488","1.3037317064404488","1.1933403731882573","1.1933403731882573","1.1933403731882573","1.079523489922285","1.079523489922285","1.079523489922285","0.9713853006064892","0.9713853006064892","0.9713853006064892","0.8564679682254791","0.8564679682254791","0.8564679682254791","0.7438408791273833","0.7438408791273833","0.7438408791273833","0.618543178960681","0.618543178960681","0.618543178960681"
"21","1.6121587815880776","1.6121587815880776","1.6121587815880776","1.4294873565435409","1.4294873565435409","1.4294873565435409","1.286772520840168","1.286772520840168","1.286772520840168","1.1813994519412518","1.1813994519412518","1.1813994519412518","1.059489163607359","1.059489163607359","1.059489163607359","0.9519376927614212","0.9519376927614212","0.9519376927614212","0.830519552230835","0.830519552230835","0.830519552230835","0.7104777420312166","0.7104777420312166","0.7104777420312166","0.5808263802528382","0.5808263802528382","0.5808263802528382"
"22","1.6068984854221344","1.6068984854221344","1.6068984854221344","1.4210974171757698","1.4210974171757698","1.4210974171757698","1.2872250930964946","1.2872250930964946","1.2872250930964946","1.1652653020620347","1.1652653020620347","1.1652653020620347","1.0466378228366375","1.0466378228366375","1.0466378228366375","0.9293545064330101","0.9293545064330101","0.9293545064330101","0.8111305810511112","0.8111305810511112","0.8111305810511112","0.6879218764603138","0.6879218764603138","0.6879218764603138","0.5566638830304146","0.5566638830304146","0.5566638830304146"
"23","1.602559468150139","1.602559468150139","1.602559468150139","1.4127049779891967","1.4127049779891967","1.4127049779891967","1.2763948133587837","1.2763948133587837","1.2763948133587837","1.1481888380646705","1.1481888380646705","1.1481888380646705","1.0344534975290298","1.0344534975290298","1.0344534975290298","0.9177001692354679","0.9177001692354679","0.9177001692354679","0.7833824467658996","0.7833824467658996","0.7833824467658996","0.6563392755389214","0.6563392755389214","0.6563392755389214","0.5305401011556387","0.5305401011556387","0.5305401011556387"
"24","1.593959555029869","1.593959555029869","1.593959555029869","1.4024649408459664","1.4024649408459664","1.4024649408459664","1.2596330572664738","1.2596330572664738","1.2596330572664738","1.1393336628377437","1.1393336628377437","1.1393336628377437","1.0195628191530703","1.0195628191530703","1.0195628191530703","0.8945604550838471","0.8945604550838471","0.8945604550838471","0.7703123486042023","0.7703123486042023","0.7703123486042023","0.6419420477747917","0.6419420477747917","0.6419420477747917","0.506699705272913","0.506699705272913","0.506699705272913"
"25","1.5955793395638467","1.5955793395638467","1.5955793395638467","1.3962070098519326","1.3962070098519326","1.3962070098519326","1.2474870713055133","1.2474870713055133","1.2474870713055133","1.1197797356545924","1.1197797356545924","1.1197797356545924","0.9929114538431167","0.9929114538431167","0.9929114538431167","0.8702692195773125","0.8702692195773125","0.8702692195773125","0.743548795953393","0.743548795953393","0.743548795953393","0.6136521156132221","0.6136521156132221","0.6136521156132221","0.48444576241075993","0.48444576241075993","0.48444576241075993"
"26","1.5921136435866357","1.5921136435866357","1.5921136435866357","1.390865145623684","1.390865145623684","1.390865145623684","1.243190959095955","1.243190959095955","1.243190959095955","1.1162791314721108","1.1162791314721108","1.1162791314721108","0.977852958291769","0.977852958291769","0.977852958291769","0.8566597747802734","0.8566597747802734","0.8566597747802734","0.7216825111210347","0.7216825111210347","0.7216825111210347","0.6013215564191341","0.6013215564191341","0.6013215564191341","0.46745448499917985","0.46745448499917985","0.46745448499917985"
"27","1.584366536140442","1.584366536140442","1.584366536140442","1.383135167658329","1.383135167658329","1.383135167658329","1.2256124210357666","1.2256124210357666","1.2256124210357666","1.1005887703597546","1.1005887703597546","1.1005887703597546","0.960987676680088","0.960987676680088","0.960987676680088","0.8364464744925499","0.8364464744925499","0.8364464744925499","0.7019266166538","0.7019266166538","0.7019266166538","0.5754696352779866","0.5754696352779866","0.5754696352779866","0.4319057607278228","0.4319057607278228","0.4319057607278228"
"28","1.5798814249038697","1.5798814249038697","1.5798814249038697","1.3729625582695006","1.3729625582695006","1.3729625582695006","1.2170513570308685","1.2170513570308685","1.2170513570308685","1.0779060950875283","1.0779060950875283","1.0779060950875283","0.9447049632668495","0.9447049632668495","0.9447049632668495","0.8175038084387779","0.8175038084387779","0.8175038084387779","0.6796778062731028","0.6796778062731028","0.6796778062731028","0.5572955648601056","0.5572955648601056","0.5572955648601056","0.42625821933150293","0.42625821933150293","0.42625821933150293"
"29","1.5757596486806869","1.5757596486806869","1.5757596486806869","1.3638595068454742","1.3638595068454742","1.3638595068454742","1.2128172521293163","1.2128172521293163","1.2128172521293163","1.0757814846932887","1.0757814846932887","1.0757814846932887","0.9351389697194099","0.9351389697194099","0.9351389697194099","0.800353586524725","0.800353586524725","0.800353586524725","0.6675573521107435","0.6675573521107435","0.6675573521107435","0.5339185802638531","0.5339185802638531","0.5339185802638531","0.39824208032339814","0.39824208032339814","0.39824208032339814"
"30","1.5699513712525368","1.5699513712525368","1.5699513712525368","1.3615918919444083","1.3615918919444083","1.3615918919444083","1.2091258539259433","1.2091258539259433","1.2091258539259433","1.0637464445829392","1.0637464445829392","1.0637464445829392","0.923809164762497","0.923809164762497","0.923809164762497","0.7840268175303936","0.7840268175303936","0.7840268175303936","0.6477750938385725","0.6477750938385725","0.6477750938385725","0.512386046051979","0.512386046051979","0.512386046051979","0.3836345021054149","0.3836345021054149","0.3836345021054149"
"31","1.5688177558779717","1.5688177558779717","1.5688177558779717","1.3503187891840935","1.3503187891840935","1.3503187891840935","1.194910870194435","1.194910870194435","1.194910870194435","1.0508805678784847","1.0508805678784847","1.0508805678784847","0.90614655777812","0.90614655777812","0.90614655777812","0.7662683809548616","0.7662683809548616","0.7662683809548616","0.6331289818882943","0.6331289818882943","0.6331289818882943","0.5065605242550373","0.5065605242550373","0.5065605242550373","0.3747774773836136","0.3747774773836136","0.3747774773836136"
"32","1.563710596561432","1.563710596561432","1.563710596561432","1.347003418058157","1.347003418058157","1.347003418058157","1.1865366703271867","1.1865366703271867","1.1865366703271867","1.0335935838520527","1.0335935838520527","1.0335935838520527","0.8918979263305664","0.8918979263305664","0.8918979263305664","0.7471268466860056","0.7471268466860056","0.7471268466860056","0.6158780051767826","0.6158780051767826","0.6158780051767826","0.4789516419172287","0.4789516419172287","0.4789516419172287","0.35996026393026115","0.35996026393026115","0.35996026393026115"
"33","1.5630839213728904","1.5630839213728904","1.5630839213728904","1.3459158819913863","1.3459158819913863","1.3459158819913863","1.1788736119866372","1.1788736119866372","1.1788736119866372","1.025296694934368","1.025296694934368","1.025296694934368","0.8753035794198513","0.8753035794198513","0.8753035794198513","0.7368404669314623","0.7368404669314623","0.7368404669314623","0.6033650137484073","0.6033650137484073","0.6033650137484073","0.4674938201904297","0.4674938201904297","0.4674938201904297","0.3467497871816158","0.3467497871816158","0.3467497871816158"
"34","1.5654618883132934","1.5654618883132934","1.5654618883132934","1.3370409566164017","1.3370409566164017","1.3370409566164017","1.1653492838144301","1.1653492838144301","1.1653492838144301","1.0144930697977543","1.0144930697977543","1.0144930697977543","0.8589803190529346","0.8589803190529346","0.8589803190529346","0.713255362957716","0.713255362957716","0.713255362957716","0.5932118413597345","0.5932118413597345","0.5932118413597345","0.4550473464280367","0.4550473464280367","0.4550473464280367","0.3307148340344429","0.3307148340344429","0.3307148340344429"
"35","1.5517895078659059","1.5517895078659059","1.5517895078659059","1.3368957966566086","1.3368957966566086","1.3368957966566086","1.160505669862032","1.160505669862032","1.160505669862032","1.0076292777061462","1.0076292777061462","1.0076292777061462","0.8491195221245289","0.8491195221245289","0.8491195221245289","0.70374268963933","0.70374268963933","0.70374268963933","0.5647657544165849","0.5647657544165849","0.5647657544165849","0.44134755942970516","0.44134755942970516","0.44134755942970516","0.3175344698503613","0.3175344698503613","0.3175344698503613"
"36","1.551361906528473","1.551361906528473","1.551361906528473","1.322663611471653","1.322663611471653","1.322663611471653","1.1462277533113956","1.1462277533113956","1.1462277533113956","0.9927606822550297","0.9927606822550297","0.9927606822550297","0.8369204305112362","0.8369204305112362","0.8369204305112362","0.690592600107193","0.690592600107193","0.690592600107193","0.5547472141683102","0.5547472141683102","0.5547472141683102","0.4299043048173189","0.4299043048173189","0.4299043048173189","0.3128175209090114","0.3128175209090114","0.3128175209090114"
"37","1.5456735390424727","1.5456735390424727","1.5456735390424727","1.3182666555047036","1.3182666555047036","1.3182666555047036","1.1404607218503953","1.1404607218503953","1.1404607218503953","0.9883867028355598","0.9883867028355598","0.9883867028355598","0.8309629872441292","0.8309629872441292","0.8309629872441292","0.677718712836504","0.677718712836504","0.677718712836504","0.5461529084295035","0.5461529084295035","0.5461529084295035","0.418638984747231","0.418638984747231","0.418638984747231","0.29445031709969044","0.29445031709969044","0.29445031709969044"
"38","1.5398430624604225","1.5398430624604225","1.5398430624604225","1.3123004245758056","1.3123004245758056","1.3123004245758056","1.1342855213582517","1.1342855213582517","1.1342855213582517","0.9708969238400459","0.9708969238400459","0.9708969238400459","0.809994683265686","0.809994683265686","0.809994683265686","0.6666104172170162","0.6666104172170162","0.6666104172170162","0.5289519409090281","0.5289519409090281","0.5289519409090281","0.4001610649749637","0.4001610649749637","0.4001610649749637","0.2856921922415495","0.2856921922415495","0.2856921922415495"
"39","1.53944803327322","1.53944803327322","1.53944803327322","1.3087538285553455","1.3087538285553455","1.3087538285553455","1.1247371472418308","1.1247371472418308","1.1247371472418308","0.9571973137557507","0.9571973137557507","0.9571973137557507","0.7974882860481739","0.7974882860481739","0.7974882860481739","0.6519525801390409","0.6519525801390409","0.6519525801390409","0.5213180288672448","0.5213180288672448","0.5213180288672448","0.3900114542245865","0.3900114542245865","0.3900114542245865","0.27715991452336314","0.27715991452336314","0.27715991452336314"
"40","1.5443612787127494","1.5443612787127494","1.5443612787127494","1.3015628331899642","1.3015628331899642","1.3015628331899642","1.120577362626791","1.120577362626791","1.120577362626791","0.9445374205708503","0.9445374205708503","0.9445374205708503","0.7863402643799782","0.7863402643799782","0.7863402643799782","0.6404003331065178","0.6404003331065178","0.6404003331065178","0.51050745151937","0.51050745151937","0.51050745151937","0.3755686177685857","0.3755686177685857","0.3755686177685857","0.2809327500872314","0.2809327500872314","0.2809327500872314"
"41","1.536630008816719","1.536630008816719","1.536630008816719","1.2896573644876481","1.2896573644876481","1.2896573644876481","1.108985983878374","1.108985983878374","1.108985983878374","0.9380157010257244","0.9380157010257244","0.9380157010257244","0.7787568013370038","0.7787568013370038","0.7787568013370038","0.632113948315382","0.632113948315382","0.632113948315382","0.49383753567934036","0.49383753567934036","0.49383753567934036","0.3782062916085124","0.3782062916085124","0.3782062916085124","0.25915108397603037","0.25915108397603037","0.25915108397603037"
"42","1.5289669048786163","1.5289669048786163","1.5289669048786163","1.2948242761194706","1.2948242761194706","1.2948242761194706","1.1014571219682694","1.1014571219682694","1.1014571219682694","0.930658765733242","0.930658765733242","0.930658765733242","0.7672441417723894","0.7672441417723894","0.7672441417723894","0.6183745461702347","0.6183745461702347","0.6183745461702347","0.47739239897578956","0.47739239897578956","0.47739239897578956","0.35500936456024645","0.35500936456024645","0.35500936456024645","0.2558804654888809","0.2558804654888809","0.2558804654888809"
"43","1.5262788492441177","1.5262788492441177","1.5262788492441177","1.292543102502823","1.292543102502823","1.292543102502823","1.099620287269354","1.099620287269354","1.099620287269354","0.9150003218650817","0.9150003218650817","0.9150003218650817","0.7586556302756071","0.7586556302756071","0.7586556302756071","0.6070877765119076","0.6070877765119076","0.6070877765119076","0.4713046621903777","0.4713046621903777","0.4713046621903777","0.35592134300619366","0.35592134300619366","0.35592134300619366","0.2561656269617379","0.2561656269617379","0.2561656269617379"
"44","1.5204347583651543","1.5204347583651543","1.5204347583651543","1.2778025029599667","1.2778025029599667","1.2778025029599667","1.0847711507976054","1.0847711507976054","1.0847711507976054","0.9065916083753109","0.9065916083753109","0.9065916083753109","0.7521077763289213","0.7521077763289213","0.7521077763289213","0.5951326140761375","0.5951326140761375","0.5951326140761375","0.46143071327358487","0.46143071327358487","0.46143071327358487","0.3487546046450734","0.3487546046450734","0.3487546046450734","0.24497362948954104","0.24497362948954104","0.24497362948954104"
"45","1.515743225812912","1.515743225812912","1.515743225812912","1.2719206139445305","1.2719206139445305","1.2719206139445305","1.0818902364373206","1.0818902364373206","1.0818902364373206","0.8982139205932618","0.8982139205932618","0.8982139205932618","0.7347038133442402","0.7347038133442402","0.7347038133442402","0.5839772574603558","0.5839772574603558","0.5839772574603558","0.44990889526903627","0.44990889526903627","0.44990889526903627","0.34456682804971933","0.34456682804971933","0.34456682804971933","0.24421191815286875","0.24421191815286875","0.24421191815286875"
"46","1.5219236579537392","1.5219236579537392","1.5219236579537392","1.2664180453121663","1.2664180453121663","1.2664180453121663","1.0677281846106053","1.0677281846106053","1.0677281846106053","0.888112586736679","0.888112586736679","0.888112586736679","0.7263685139268636","0.7263685139268636","0.7263685139268636","0.5756678717583418","0.5756678717583418","0.5756678717583418","0.4381143428385258","0.4381143428385258","0.4381143428385258","0.3328501885011792","0.3328501885011792","0.3328501885011792","0.23190222416073084","0.23190222416073084","0.23190222416073084"
"47","1.513375951051712","1.513375951051712","1.513375951051712","1.2667726150155068","1.2667726150155068","1.2667726150155068","1.0591283972561358","1.0591283972561358","1.0591283972561358","0.8860077042877674","0.8860077042877674","0.8860077042877674","0.7174899232387543","0.7174899232387543","0.7174899232387543","0.5663650807738304","0.5663650807738304","0.5663650807738304","0.4347596750408411","0.4347596750408411","0.4347596750408411","0.3197503900155425","0.3197503900155425","0.3197503900155425","0.2261101613380015","0.2261101613380015","0.2261101613380015"
"48","1.5125139969587327","1.5125139969587327","1.5125139969587327","1.2614180268347264","1.2614180268347264","1.2614180268347264","1.0529016494750976","1.0529016494750976","1.0529016494750976","0.8719739848375321","0.8719739848375321","0.8719739848375321","0.7090904417634011","0.7090904417634011","0.7090904417634011","0.5592966579645872","0.5592966579645872","0.5592966579645872","0.41873236034065486","0.41873236034065486","0.41873236034065486","0.3168594790250063","0.3168594790250063","0.3168594790250063","0.21913588020950556","0.21913588020950556","0.21913588020950556"
"49","1.5044609463214875","1.5044609463214875","1.5044609463214875","1.2562481363117695","1.2562481363117695","1.2562481363117695","1.0482485075294972","1.0482485075294972","1.0482485075294972","0.8699692724645138","0.8699692724645138","0.8699692724645138","0.6940957836806774","0.6940957836806774","0.6940957836806774","0.5396716476231813","0.5396716476231813","0.5396716476231813","0.41714648101478813","0.41714648101478813","0.41714648101478813","0.3052711118757725","0.3052711118757725","0.3052711118757725","0.2176205733977258","0.2176205733977258","0.2176205733977258"
